race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio,win5_rank
20260606_東京_09,pw01dud002023103908/80,エリプティクカーブ,6,8,横山 武史,54,3.2,2,東京,2026-06-06,09,芝,2400,,0,0.0,4,4.0161,33.9403,5.4194,56.4194,0,2,-3.4194,35,0,0,2,3.2,3.2,3.2,3.2,0,0,0,2,0,0.6777,0.8843,0.6765,0.6866,0.359,0.3508,0.4183,0.495248,0.8065,0.3242,0.3125,0.3125,0.559515,0.4184,0.551415,0.37491,0.44509,0.18,0.413094,3.2,3.547972,3.200472,3.547972,structural,0.200603,4.98497,0.248314,0.380407,0.348716,favorite,0.64193,0.64193,0.64193,0.711734,0.642024,0.711734,0.347972,0.108741,0.069804,0.108741,2
20260606_東京_09,pw01dud002023107228/05,ウップヘリーア,7,10,C.ルメール,54,2.8,1,東京,2026-06-06,09,芝,2400,,0,0.0,3,2.5098,34.0647,3.0588,56.7255,0,1,-2.0588,35,0,0,2,2.8,2.8,2.8,2.8,0,0,0,1,0,0.6777,0.9205,0.7509,0.6451,0.445,0.5134,0.2601,0.530809,0.9085,0.4912,0.3571,0.3571,0.5065,0.54038,0.557775,0.37491,0.44509,0.18,0.491799,2.8,3.13215,2.80045,3.13215,structural,0.225685,4.430951,0.283787,0.380407,0.396272,favorite,0.631919,0.631919,0.631919,0.70688,0.63202,0.70688,0.33215,0.118625,0.074961,0.118625,1
20260606_東京_10,pw01dud002019104818/2B,メイケイバートン,8,17,戸崎 圭太,56,26.2,8,東京,2026-06-06,10,芝,1400,,0,0.0,4,5.3065,34.5758,7.4355,58,0,8,0.5645,35,0,0,2,26.2,26.2,26.2,26.2,0,0,0,8,0,0.6777,1.0913,0.8899,0.4747,0.3266,0.2997,0.5992,0.44637,0.6667,0.0,0.0382,0.0382,0.34709,0.42581,0.718195,0.407379,0.412621,0.18,0.339101,26.2,25.179469,26.198617,25.179469,structural,0.045315,22.067984,0.03005,0.580407,0.045315,contender,1.18724,1.18724,1.18724,1.140995,1.187178,1.140995,-1.020531,-0.038952,-0.046245,-0.038952,8
20260606_東京_10,pw01dud002021105516/AC,イゾラフェリーチェ,8,16,荻野 極,54,15.1,7,東京,2026-06-06,10,芝,1400,,0,0.0,4,6.9839,36.7484,6.2742,56,0,7,0.7258,35,0,0,2,15.1,15.1,15.1,15.1,0,0,0,7,0,0.6777,0.8884,0.9051,0.0,0.2016,0.2908,0.2626,0.282403,0.6667,0.3879,0.0662,0.0662,0.033215,0.3869,0.606825,0.407379,0.412621,0.18,0.296396,15.1,15.012012,15.099881,15.012012,structural,0.07079,14.126363,0.052139,0.580407,0.07079,contender,1.068923,1.068923,1.068923,1.062695,1.068915,1.062695,-0.087988,-0.005827,-0.006229,-0.005827,7
20260606_東京_10,pw01dud002022104771/CC,スターウェーブ,8,15,三浦 皇成,56,14.6,6,東京,2026-06-06,10,芝,1400,,0,0.0,4,7.7097,33.4855,5.9839,57.4194,0,6,0.0161,35,0,0,2,14.6,14.6,14.6,14.6,0,0,0,6,0,0.6777,1.1781,0.4602,0.8382,0.1886,0.3369,0.1667,0.489402,0.4731,0.4403,0.0685,0.0685,0.73376,0.31707,0.33141,0.407379,0.412621,0.18,0.324432,14.6,14.314133,14.599613,14.314133,structural,0.073037,13.69168,0.053925,0.580407,0.073037,contender,1.066341,1.066341,1.066341,1.045462,1.066313,1.045462,-0.285867,-0.01958,-0.020879,-0.01958,6
20260606_東京_10,pw01dud002023104015/6D,ロジケープ,3,6,丹内 祐次,54,12.4,5,東京,2026-06-06,10,芝,1400,,0,0.0,4,1.9032,34.7242,1.2258,56.8226,0,5,3.7742,35,0,0,2,12.4,12.4,12.4,12.4,0,0,0,5,0,0.6777,1.1964,0.8738,0.4253,0.5,0.7327,0.2702,0.530375,0.9409,0.7266,0.0806,0.0806,0.320615,0.69111,0.63665,0.407379,0.412621,0.18,0.573494,12.4,13.138029,12.401,13.138029,structural,0.085304,11.722835,0.063492,0.580407,0.085304,contender,1.057765,1.057765,1.057765,1.120721,1.05785,1.120721,0.738029,0.059518,0.062957,0.059518,5
20260606_東京_10,pw01dud002022106229/FD,ウインイザナミ,5,10,佐々木 大輔,53,12.2,4,東京,2026-06-06,10,芝,1400,,0,0.0,4,8.2903,35.9968,5,55.5968,0,4,-1,35,0,0,2,12.2,12.2,12.2,12.2,0,0,0,4,0,0.6777,0.978,0.5996,0.0011,0.145,0.3506,0.4973,0.287274,0.8656,0.1129,0.082,0.082,0.140855,0.33872,0.50072,0.407379,0.412621,0.18,0.350958,12.2,11.781383,12.199433,11.781383,structural,0.085693,11.669573,0.064533,0.580407,0.085693,contender,1.045454,1.045454,1.045454,1.009581,1.045405,1.009581,-0.418617,-0.034313,-0.035872,-0.034313,4
20260606_東京_10,pw01dud002023103293/7A,ラスティングスノー,3,5,横山 琉人,52,52.2,12,東京,2026-06-06,10,芝,1400,,0,0.0,4,10.2742,36.179,10.0161,55,0,12,1.9839,35,0,0,2,52.2,52.2,52.2,52.2,0,0,0,12,0,0.6777,0.96,0.9326,0.0,0.1142,0.3648,0.1879,0.281528,1.0,0.1411,0.0192,0.0192,0.02359,0.40318,0.58643,0.407379,0.412621,0.18,0.318158,52.2,54.244051,52.202771,54.244051,structural,0.019236,51.985735,0.015082,0.740407,0.019236,outsider,1.004122,1.004122,1.004122,1.043441,1.004175,1.043441,2.044051,0.039158,0.039319,0.039158,12
20260606_東京_10,pw01dud002021103561/DF,ゴールドスター,6,12,横山 和生,56,40.2,11,東京,2026-06-06,10,芝,1400,,0,0.0,4,8.2258,33.3065,6.2419,58,0,11,4.7581,35,0,0,2,40.2,40.2,40.2,40.2,0,0,0,11,0,0.6777,1.0723,0.3748,0.8978,0.1943,0.2577,0.75,0.517876,0.6667,0.5347,0.0249,0.0249,0.80239,0.2621,0.460285,0.407379,0.412621,0.18,0.395194,40.2,42.734144,40.203435,42.734144,structural,0.024222,41.285201,0.019585,0.740407,0.024222,outsider,0.973715,0.973715,0.973715,1.035096,0.973798,1.035096,2.534144,0.063038,0.061381,0.063038,11
20260606_東京_10,pw01dud002021105584/36,ツーネサーン,5,9,横山 武史,57,10.7,3,東京,2026-06-06,10,芝,1400,,0,0.0,4,5.5161,34.7661,4.4194,58,0,3,-1.4194,35,0,0,2,10.7,10.7,10.7,10.7,0,0,0,3,0,0.6777,1.0062,0.7486,0.4113,0.1886,0.3728,0.5223,0.4142,0.3333,0.2097,0.0935,0.0935,0.355335,0.3927,0.59671,0.407379,0.412621,0.18,0.35063,10.7,10.578475,10.699835,10.578475,structural,0.088586,11.288441,0.073579,0.380407,0.117511,favorite,0.947872,0.947872,0.947872,0.937107,0.947858,0.937107,-0.121525,-0.011358,-0.010765,-0.011358,3
