race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,track_condition_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,relative_front_rank,solo_lead_score,front_competitor_count,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,win_prob_mean,win_prob_std,monte_carlo_iterations,monte_carlo_seed,luck_score_std,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio
20260705_函館_09,pw01dud002022106389/8E,ベルビースタローン,5,10,小林 美駒,56,17.3,8,函館,2026-07-05,09,芝,1200,曇,良,2026-07-05T04:18:54.920419+00:00,,0,0.0,5,3.8571,35.2386,2.3571,53.9571,0,8,5.6429,35,0,0,1,17.3,17.3,17.3,17.3,0,0,0,8,0,0,1.175,0.905,0.2538,0.2808,0.4645,0.3962,1.0,0.422202,-0.681,0.1,0.0578,0.0578,0.19822,0.578417,0.535521,0.39057,0.42943,0.18,0.933333,0.161756,8,0.278566,17.3,18.74054,17.3,18.74054,structural,0.061048,0.061048,0.004146,2000,731,0.16,16.38061,0.04591,0.58,0.064147,contender,1.056127,1.056127,1.056127,1.144068,1.056127,1.144068,1.44054,0.083268,0.087942,0.083268
20260705_函館_09,pw01dud002020106519/68,モズアンタレス,8,15,吉田 隼人,56,17.1,7,函館,2026-07-05,09,芝,1200,曇,良,2026-07-05T04:18:54.920419+00:00,,0,0.0,5,7.2571,34.0414,10.0429,55.8857,0,7,-3.0429,35,0,0,1,17.1,17.1,17.1,17.1,0,0,0,7,0,0,1.1502,0.4866,0.6529,0.205,0.2785,0.4986,1.0,0.417782,-0.0381,0.1857,0.0585,0.0585,0.604075,0.27564,0.352668,0.39057,0.42943,0.18,0.2,0.01314,8,0.272447,17.1,15.815253,17.1,15.815253,structural,0.061326,0.061326,0.004307,2000,731,0.16,16.306382,0.046447,0.58,0.064561,contender,1.048669,1.048669,1.048669,0.969881,1.048669,0.969881,-1.284747,-0.075131,-0.078788,-0.075131
20260705_函館_09,pw01dud002022105718/80,リリーフィールド,4,7,佐々木 大輔,56,13,6,函館,2026-07-05,09,芝,1200,曇,良,2026-07-05T04:18:54.920419+00:00,,0,0.0,5,8.0857,34.0543,2.4857,55.6429,0,6,3.5143,35,0,0,1,13,13,13,13,0,0,0,6,0,0,1.1613,0.5609,0.6486,0.2403,0.3159,0.498,0.94,0.439526,-0.119,0.1857,0.0769,0.0769,0.575275,0.337237,0.389009,0.39057,0.42943,0.18,0.333333,0.020522,8,0.287286,13,14.02822,13,14.02822,structural,0.074518,0.074518,0.00634,2000,731,0.16,13.419584,0.061096,0.58,0.081871,contender,0.968733,0.968733,0.968733,1.045354,0.968733,1.045354,1.02822,0.079094,0.076621,0.079094
20260705_函館_09,pw01dud002022104174/FF,マジカルフェアリー,2,3,舟山 瑠泉,56,32.1,12,函館,2026-07-05,09,芝,1200,曇,良,2026-07-05T04:18:54.920419+00:00,,0,0.0,5,7.3429,34.6157,5.8429,55.5714,0,12,6.1571,35,0,0,1,32.1,32.1,32.1,32.1,0,0,0,12,0,0,1.1641,0.7613,0.4614,0.1881,0.3196,0.56,1.0,0.41298,-0.1429,0.04,0.0312,0.0312,0.383455,0.40906,0.486395,0.39057,0.42943,0.18,0.6,0.068299,8,0.274221,32.1,34.266685,32.1,34.266685,structural,0.029803,0.029803,0.000042,2000,731,0.16,33.553237,0.024743,0.74,0.029805,outsider,0.956689,0.956689,0.956689,1.021263,0.956689,1.021263,2.166685,0.067498,0.064575,0.067498
20260705_函館_09,pw01dud002022103151/97,ミニョンマルーン,5,9,長浜 鴻緒,56,27.4,11,函館,2026-07-05,09,芝,1200,曇,良,2026-07-05T04:18:54.920419+00:00,,0,0.0,5,7.7714,35.9629,5.1571,55.7286,0,11,5.8429,35,0,0,1,27.4,27.4,27.4,27.4,0,0,0,11,0,0,1.1183,0.9193,0.0124,0.3503,0.2871,0.5123,1.0,0.351251,-0.0905,0.1857,0.0365,0.0365,0.036305,0.54031,0.58359,0.39057,0.42943,0.18,1,0.176248,8,0.2605,27.4,29.421474,27.4,29.421474,structural,0.034343,0.034343,0.000058,2000,731,0.16,29.118316,0.028987,0.74,0.034346,outsider,0.940988,0.940988,0.940988,1.010411,0.940988,1.010411,2.021474,0.073776,0.069423,0.073776
20260705_函館_09,pw01dud002021103005/56,ヒラボクミニー,6,12,浜中 俊,56,23.5,10,函館,2026-07-05,09,芝,1200,曇,良,2026-07-05T04:18:54.920419+00:00,,0,0.0,5,9.6,35.6214,8.0286,55.1571,0,10,1.9714,35,0,0,1,23.5,23.5,23.5,23.5,0,0,0,10,0,0,1.0479,0.6294,0.1262,0.1603,0.2716,0.3905,1.0,0.295516,-0.281,0.0,0.0426,0.0426,0.21174,0.336458,0.379621,0.39057,0.42943,0.18,0.466667,0.030954,8,0.198657,23.5,25.05617,23.5,25.05617,structural,0.039445,0.039445,0.000179,2000,731,0.16,25.351873,0.033798,0.74,0.039466,outsider,0.926953,0.926953,0.926953,0.988336,0.926953,0.988336,1.55617,0.06622,0.061383,0.06622
20260705_函館_09,pw01dud002023103293/7A,ラスティングスノー,4,8,横山 琉人,53,18.2,9,函館,2026-07-05,09,芝,1200,曇,良,2026-07-05T04:18:54.920419+00:00,,0,0.0,5,12.4571,35.9457,10.7571,54.1429,0,9,-1.7571,35,0,0,1,18.2,18.2,18.2,18.2,0,0,0,9,0,0,0.9927,0.8765,0.0181,0.1152,0.3175,0.3308,0.8636,0.305289,0.381,0.2807,0.0549,0.0549,0.05499,0.460608,0.477846,0.39057,0.42943,0.18,0.866667,0.136332,8,0.288032,18.2,18.225061,18.2,18.225061,structural,0.050062,0.050062,0.000303,2000,731,0.16,19.975171,0.04364,0.74,0.050102,outsider,0.911131,0.911131,0.911131,0.912386,0.911131,0.912386,0.025061,0.001377,0.001255,0.001377
20260705_函館_09,pw01dud002022103594/F4,サンタアニタ,8,16,斎藤 新,56,9,5,函館,2026-07-05,09,芝,1200,曇,良,2026-07-05T04:18:54.920419+00:00,,0,0.0,5,2.8286,34.7014,4.7143,54.6714,0,5,0.2857,35,0,0,1,9,9,9,9,0,0,0,5,0,0,1.0319,0.7773,0.4329,0.4142,0.5074,0.3398,0.8657,0.464441,-0.4429,0.4286,0.1111,0.1111,0.35933,0.556438,0.473036,0.39057,0.42943,0.18,0.666667,0.07518,8,0.347179,9,9.490012,9,9.490012,structural,0.097809,0.097809,0.008088,2000,731,0.16,10.224007,0.08825,0.58,0.114179,contender,0.880281,0.880281,0.880281,0.928209,0.880281,0.928209,0.490012,0.054446,0.047928,0.054446
20260705_函館_09,pw01dud002020104983/0C,マルプリ,2,4,秋山 稔樹,56,72.7,16,函館,2026-07-05,09,芝,1200,曇,良,2026-07-05T04:18:54.920419+00:00,,0,0.0,5,10.6571,33.9686,13.8714,54.7429,0,16,2.1286,35,0,0,1,72.7,72.7,72.7,72.7,0,0,0,16,0,0,1.1428,0.4319,0.6771,0.3134,0.2752,0.3924,1.0,0.427302,-0.419,0.0,0.0138,0.0138,0.63895,0.279882,0.319763,0.39057,0.42943,0.18,0.133333,0.009464,8,0.207024,72.7,80.85891,72.7,80.85891,structural,0.011668,0.011668,0,2000,731,0.16,85.705904,0.010925,0.88,0.011668,longshot,0.84825,0.84825,0.84825,0.943446,0.84825,0.943446,8.15891,0.112227,0.095197,0.112227
20260705_函館_09,pw01dud002020106623/F7,ゴキゲンサン,3,5,国分 恭介,56,55.1,15,函館,2026-07-05,09,芝,1200,曇,良,2026-07-05T04:18:54.920419+00:00,,0,0.0,5,13.3286,34.7986,11.3143,55.8857,0,15,3.6857,35,0,0,1,55.1,55.1,55.1,55.1,0,0,0,15,0,0,1.0815,0.3092,0.4005,0.2872,0.2546,0.601,1.0,0.347815,-0.0381,0.0,0.0181,0.0181,0.502105,0.22002,0.317917,0.39057,0.42943,0.18,0,0.004533,8,0.245846,55.1,61.611686,55.1,61.611686,structural,0.015247,0.015247,0,2000,731,0.16,65.588012,0.014415,0.88,0.015247,longshot,0.840093,0.840093,0.840093,0.939374,0.840093,0.939374,6.511686,0.118179,0.099282,0.118179
