race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,track_condition_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,relative_front_rank,solo_lead_score,front_competitor_count,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,win_prob_mean,win_prob_std,monte_carlo_iterations,monte_carlo_seed,luck_score_std,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio
20260705_函館_07,pw01dud002017104266/57,カップッチョ,8,9,黛 弘人,58,100,8,函館,2026-07-05,07,ダート,1000,曇,良,2026-07-05T04:12:26.710249+00:00,,0,0.0,5,9.4143,36.0343,13,56.8,0,8,-5,35,0,0,1,100,100,100,100,0,0,0,8,0,0,0.8466,0.4109,0.0,0.3402,0.2293,0.4812,0.88,0.245553,-0.4,0.39,0.01,0.01,0.206185,0.238405,0.340351,0.347693,0.472307,0.18,0,0.023306,4,0.203362,100,73.053486,100,73.053486,structural,0.019299,0.019299,0,2000,731,0.16,51.81524,0.007949,0.58,0.019299,contender,1.929934,1.929934,1.929934,1.409884,1.929934,1.409884,-26.946514,-0.269465,-0.52005,-0.269465
20260705_函館_07,pw01dud002023102305/12,マインセーラ,5,5,的場 勇人,53,86.2,7,函館,2026-07-05,07,ダート,1000,曇,良,2026-07-05T04:12:26.710249+00:00,,0,0.0,5,5.7857,36.8,6.6857,54.4286,0,7,0.3143,35,0,0,1,86.2,86.2,86.2,86.2,0,0,0,7,0,0,0.454,0.4748,0.0,0.2054,0.2783,0.4438,0.5226,0.247122,0.4762,0.3003,0.0116,0.0116,0.18382,0.25889,0.338519,0.347693,0.472307,0.18,0.125,0.034196,4,0.28207,86.2,72.997785,86.2,72.997785,structural,0.020798,0.020798,0,2000,731,0.16,48.082239,0.009222,0.58,0.020798,contender,1.792762,1.792762,1.792762,1.518186,1.792762,1.518186,-13.202215,-0.153158,-0.274576,-0.153158
20260705_函館_07,pw01dud002022101819/68,ジェイエルライナー,1,1,★ 河原田 菜々,52,44.9,6,函館,2026-07-05,07,ダート,1000,曇,良,2026-07-05T04:12:26.710249+00:00,,0,0.0,5,7.3429,37.2743,7.1857,54.9286,0,6,-1.1857,35,0,0,1,44.9,44.9,44.9,44.9,0,0,0,6,0,0,0.5869,0.5084,0.0,0.1491,0.3113,0.3408,0.7208,0.253347,0.9762,0.11,0.0223,0.0223,0.17206,0.288055,0.319292,0.347693,0.472307,0.18,0.25,0.041834,4,0.308566,44.9,39.434113,44.9,39.434113,structural,0.030716,0.030716,0,2000,731,0.16,32.556338,0.017705,0.58,0.030716,contender,1.379148,1.379148,1.379148,1.211258,1.379148,1.211258,-5.465887,-0.121735,-0.16789,-0.121735
20260705_函館_07,pw01dud002022106420/54,パーティーガール,6,6,▲ 遠藤 汰月,53,165,9,函館,2026-07-05,07,ダート,1000,曇,良,2026-07-05T04:12:26.710249+00:00,,0,0.0,5,10.9857,37.7086,11.2571,53.7,0,9,-2.2571,35,0,0,1,165,165,165,165,0,0,0,9,0,0,0.6282,0.5513,0.0,0.3402,0.1849,0.6073,1.0,0.282341,0.2333,0.5347,0.0061,0.0061,0.157045,0.316705,0.434198,0.347693,0.472307,0.18,0.375,0.054115,4,0.270027,165,142.345329,165,142.345329,structural,0.008201,0.008201,0,2000,731,0.16,121.932838,0.004818,0.74,0.008201,outsider,1.353204,1.353204,1.353204,1.167408,1.353204,1.167408,-22.654671,-0.137301,-0.185796,-0.137301
20260705_函館_07,pw01dud002023101106/34,クイーンレグナント,4,4,横山 和生,53,6.4,5,函館,2026-07-05,07,ダート,1000,曇,良,2026-07-05T04:12:26.710249+00:00,,0,0.0,5,8.5143,36.1914,5.9857,53.9571,0,5,-0.9857,35,0,0,1,6.4,6.4,6.4,6.4,0,0,0,5,0,0,0.9831,0.7525,0.0,0.1881,0.2677,0.484,0.9271,0.326423,0.319,0.3157,0.1562,0.1562,0.086625,0.44198,0.486408,0.347693,0.472307,0.18,0.875,0.180966,4,0.301942,6.4,6.430827,6.4,6.430827,structural,0.146583,0.146583,0.010048,2000,731,0.16,6.822084,0.12421,0.58,0.155642,contender,0.93813,0.93813,0.93813,0.942649,0.93813,0.942649,0.030827,0.004817,0.004519,0.004817
20260705_函館_07,pw01dud002021104455/59,アルヘンティニータ,2,2,▲ 小林 美駒,53,5.7,4,函館,2026-07-05,07,ダート,1000,曇,良,2026-07-05T04:12:26.710249+00:00,,0,0.0,5,5,36.6857,8.4429,55.0286,0,4,-4.4429,35,0,0,1,5.7,5.7,5.7,5.7,0,0,0,4,0,0,0.8725,0.7445,0.0,0.3586,0.2887,0.4983,1.0,0.331679,0.6762,0.1857,0.1754,0.1754,0.089425,0.441805,0.510662,0.347693,0.472307,0.18,0.625,0.172485,4,0.334085,5.7,5.412375,5.7,5.412375,structural,0.159957,0.159957,0.021267,2000,731,0.16,6.251682,0.139464,0.38,0.204383,favorite,0.911755,0.911755,0.911755,0.865747,0.911755,0.865747,-0.287625,-0.050461,-0.046008,-0.050461
20260705_函館_07,pw01dud002021101624/4B,キャンドルマス,8,8,武 豊,58,5.3,3,函館,2026-07-05,07,ダート,1000,曇,良,2026-07-05T04:12:26.710249+00:00,,0,0.0,5,5.0571,35.4629,5.1714,57.6571,0,3,-2.1714,35,0,0,1,5.3,5.3,5.3,5.3,0,0,0,3,0,0,0.9333,0.5773,0.179,0.2456,0.3444,0.5512,0.7514,0.349366,-0.1143,0.0,0.1887,0.1887,0.264295,0.385755,0.41821,0.347693,0.472307,0.18,0.5,0.063251,4,0.291215,5.3,5.408981,5.3,5.408981,structural,0.160862,0.160862,0.021332,2000,731,0.16,6.216506,0.14999,0.38,0.218926,favorite,0.852569,0.852569,0.852569,0.8701,0.852569,0.8701,0.108981,0.020562,0.017531,0.020562
20260705_函館_07,pw01dud002022100091/D9,キャリーグレイス,7,7,☆ 舟山 瑠泉,55,3.3,2,函館,2026-07-05,07,ダート,1000,曇,良,2026-07-05T04:12:26.710249+00:00,,0,0.0,5,4.9714,35.9657,3.2286,54.8286,0,2,-1.2286,35,0,0,1,3.3,3.3,3.3,3.3,0,0,0,2,0,0,0.97,0.7521,0.0114,0.2229,0.3623,0.4628,0.7729,0.339134,-0.0571,0.0,0.303,0.303,0.094175,0.46346,0.486082,0.347693,0.472307,0.18,0.75,0.180533,4,0.303011,3.3,3.784629,3.3,3.784629,structural,0.205659,0.205659,0.021726,2000,731,0.16,4.862426,0.240893,0.38,0.3391,favorite,0.678674,0.678674,0.678674,0.778342,0.678674,0.778342,0.484629,0.146857,0.099668,0.146857
20260705_函館_07,pw01dud002023104849/F1,ムーンブランシュ,3,3,古川 吉洋,53,2.6,1,函館,2026-07-05,07,ダート,1000,曇,良,2026-07-05T04:12:26.710249+00:00,,0,0.0,5,5.2143,36.6186,5.5429,53.9429,0,1,-4.5429,35,0,0,1,2.6,2.6,2.6,2.6,0,0,0,1,0,0,0.8806,0.8059,0.0,0.1719,0.3729,0.589,1.0,0.36407,0.3143,0.2407,0.3846,0.3846,0.067935,0.51302,0.545258,0.347693,0.472307,0.18,1,0.249314,4,0.387881,2.6,2.889269,2.6,2.889269,structural,0.247925,0.247925,0.023968,2000,731,0.16,4.033473,0.305749,0.38,0.426275,favorite,0.644606,0.644606,0.644606,0.716323,0.644606,0.716323,0.289269,0.111257,0.071717,0.111257
