race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,horse_country,is_overseas_race,country_value_score,history_count,avg_finish,avg_last3f,avg_popularity,avg_weight,avg_odds,current_popularity_score,popularity_gap,days_since_last_run,odds_history_trend,odds_volatility,odds_snapshot_count,odds_first,odds_latest,odds_min,odds_max,odds_range_ratio,odds_slope_recent,odds_slope_full,popularity_latest,popularity_change,odds_span_minutes,speed_score,front_rate,closing_strength,consistency,ability_score,course_score,pace_score,weight_score,jockey_score,market_support,market_support_base,pace_high,pace_mid,pace_slow,pace_mix_high,pace_mix_mid,pace_mix_slow,model_score,win_odds,predicted_odds_structural,predicted_odds_live,predicted_odds,predicted_odds_source,win_prob,fair_odds,market_prob,market_shrink_used,probability_cap,probability_band,ev,ev_win,ev_current,ev_predicted_structural,ev_predicted_live,ev_predicted,odds_gap,odds_gap_ratio,ev_delta,ev_delta_ratio
20260531_東京_11,pw01dud002023107321/11,アウダーシア,5,9,D.レーン,57,16.8,7,東京,2026-05-31,11,芝,2400,,0,0.0,4,1.4032,33.8323,3.4355,56.4194,0,7,3.5645,35,0,0,3,16.2,16.8,16.2,16.8,0.0357,0.0056,0.0056,7,0,398.7856,0.9644,0.6736,0.7226,0.6667,0.7833,0.4651,0.644994,-0.1935,0.2089,0.0595,0.0595,0.58393,0.72638,0.610015,0.424293,0.395707,0.18,0.505671,16.8,17.709976,17.051285,17.051285,live,0.063187,15.826096,0.047201,0.61525,0.063187,contender,1.061538,1.061538,1.061538,1.119036,1.077416,1.077416,0.251285,0.014957,0.015878,0.014957
20260531_東京_11,pw01dud002023107345/FD,フォルテアンジェロ,7,15,荻野 極,57,18.1,8,東京,2026-05-31,11,芝,2400,,0,0.0,4,2.7903,33.7645,4.9516,56.1452,0,8,3.0484,35,0,0,3,16.5,18.1,16.5,18.1,0.0884,0.0146,0.0146,8,0,398.7856,0.9087,0.6556,0.7452,0.4,0.4873,0.2516,0.541738,-0.2849,0.2718,0.0552,0.0552,0.60492,0.49477,0.49606,0.424293,0.395707,0.18,0.332144,18.1,18.90633,18.588101,18.588101,live,0.058472,17.102307,0.043811,0.61525,0.058472,contender,1.058337,1.058337,1.058337,1.105484,1.086877,1.086877,0.488101,0.026967,0.02854,0.026967
20260531_東京_11,pw01dud002023106963/6E,コンジェスタス,3,6,西村 淳也,57,12,6,東京,2026-05-31,11,芝,2400,,0,0.0,3,1,35.3333,3.7843,56.7255,0,6,2.2157,35,0,0,3,10.8,12,10.8,12,0.1,0.0167,0.0167,6,1,398.7856,0.8781,0.7935,0.2222,1.0,0.9781,0.1464,0.58044,-0.0915,0.8216,0.0833,0.0833,0.216705,0.94775,0.630345,0.424293,0.395707,0.18,0.592572,12,12.498007,12.627067,12.627067,live,0.08527,11.727493,0.066082,0.61525,0.08527,contender,1.023237,1.023237,1.023237,1.065702,1.076706,1.076706,0.627067,0.052256,0.05347,0.052256
20260531_東京_11,pw01dud002023103687/FA,ライヒスアドラー,1,1,佐々木 大輔,57,11.4,5,東京,2026-05-31,11,芝,2400,,0,0.0,4,2.371,33.9113,4.0806,56.4194,0,5,0.9194,35,0,0,3,11.3,11.4,11.3,11.4,0.0088,0.0013,0.0013,5,-1,398.7856,0.9245,0.7258,0.6962,0.5467,0.5874,0.2441,0.571081,-0.1935,0.7121,0.0877,0.0877,0.5485,0.60287,0.554425,0.424293,0.395707,0.18,0.424267,11.4,11.658204,11.201867,11.201867,live,0.086665,11.538714,0.06956,0.61525,0.088613,contender,0.987978,0.987978,0.987978,1.010356,0.970807,0.970807,-0.198133,-0.01738,-0.017171,-0.01738
20260531_東京_11,pw01dud002023100946/0D,マテンロウゲイル,1,2,横山 和生,57,44.9,12,東京,2026-05-31,11,芝,2400,,0,0.0,4,4.129,34.2516,3.4194,56.8226,0,12,8.5806,35,0,0,3,44.1,44.9,44.1,44.9,0.0178,0.0027,0.0027,12,0,398.7856,0.9196,0.6338,0.5828,0.2094,0.4762,0.1333,0.459947,-0.0591,0.8081,0.0223,0.0223,0.50699,0.42768,0.41999,0.424293,0.395707,0.18,0.354854,44.9,48.309451,45.490622,45.490622,live,0.020867,47.921535,0.017661,0.77525,0.020867,outsider,0.936948,0.936948,0.936948,1.008095,0.949273,0.949273,0.590622,0.013154,0.012325,0.013154
20260531_東京_11,pw01dud002023107247/B2,バステール,3,5,川田 将雅,57,32.2,11,東京,2026-05-31,11,芝,2400,,0,0.0,4,4.4032,33.9532,3.1613,56.5968,0,11,7.8387,35,0,0,3,30.3,32.2,30.3,32.2,0.059,0.0094,0.0094,11,0,398.7856,0.9255,0.462,0.6823,0.1921,0.4788,0.225,0.485241,-0.1344,0.5629,0.0311,0.0311,0.631795,0.38943,0.350415,0.424293,0.395707,0.18,0.348247,32.2,34.983741,32.98747,32.98747,live,0.028229,35.42519,0.024627,0.77525,0.028229,outsider,0.908958,0.908958,0.908958,0.987539,0.931187,0.931187,0.78747,0.024456,0.022229,0.024456
20260531_東京_11,pw01dud002023107377/13,パントルナイーフ,7,13,C.ルメール,57,9.4,4,東京,2026-05-31,11,芝,2400,,0,0.0,4,5.371,33.8355,3.9839,55.9194,0,4,0.0161,35,0,0,3,9.5,9.4,9.4,9.5,0.0106,-0.0016,-0.0016,4,0,398.7856,0.9341,0.5323,0.7215,0.1538,0.4618,0.2616,0.491168,-0.3602,0.825,0.1064,0.1064,0.63267,0.3835,0.394315,0.424293,0.395707,0.18,0.359119,9.4,9.707947,9.444199,9.444199,live,0.096593,10.352686,0.08436,0.61525,0.10538,contender,0.907977,0.907977,0.907977,0.937723,0.912246,0.912246,0.044199,0.004702,0.004269,0.004702
20260531_東京_11,pw01dud002023105456/D3,グリーンエナジー,8,16,戸崎 圭太,57,25.4,10,東京,2026-05-31,11,芝,2400,,0,0.0,4,3.2903,33.7274,1.9516,56.4194,0,10,8.0484,35,0,0,3,21.7,25.4,21.7,25.4,0.1457,0.0257,0.0257,10,0,398.7856,0.9341,0.6082,0.7575,0.2899,0.5182,0.3492,0.539067,-0.1935,0.825,0.0394,0.0394,0.629505,0.46771,0.482755,0.424293,0.395707,0.18,0.408031,25.4,27.728099,26.608743,26.608743,live,0.035264,28.357309,0.03122,0.77525,0.035264,outsider,0.895713,0.895713,0.895713,0.977811,0.938338,0.938338,1.208743,0.047588,0.042625,0.047588
20260531_東京_11,pw01dud002023106400/C0,アスクエジンバラ,6,12,岩田 康誠,57,20.7,9,東京,2026-05-31,11,芝,2400,,0,0.0,4,2.871,34.5629,8.2258,56.5968,0,9,0.7742,35,0,0,3,18.5,20.7,18.5,20.7,0.1063,0.0179,0.0179,9,0,398.7856,0.9502,0.7353,0.479,0.5467,0.477,0.1242,0.483143,-0.1344,0.65,0.0483,0.0483,0.403995,0.54957,0.52368,0.424293,0.395707,0.18,0.342075,20.7,21.917246,21.388346,21.388346,live,0.042585,23.482239,0.038308,0.77525,0.042585,outsider,0.881517,0.881517,0.881517,0.933354,0.910831,0.910831,0.688346,0.033253,0.029313,0.033253
20260531_東京_11,pw01dud002023103824/A3,ケントン,2,3,丹内 祐次,57,218.1,18,東京,2026-05-31,11,芝,2400,,0,0.0,4,6.9194,37.7774,10.1935,57,0,18,7.8065,35,0,0,3,209.6,218.1,209.6,218.1,0.039,0.0061,0.0061,18,0,398.7856,0.6922,0.7742,0.0,0.1839,0.2945,0.328,0.274225,-0.0,0.096,0.0046,0.0046,0.07903,0.35726,0.551795,0.424293,0.395707,0.18,0.221718,218.1,238.281579,222.517116,222.517116,live,0.004018,248.857807,0.003636,0.91525,0.004018,longshot,0.876404,0.876404,0.876404,0.957501,0.894154,0.894154,4.417116,0.020253,0.01775,0.020253
