race_id,bet_type,combination,odds,odds_min,odds_max,captured_at,source_cname
20260607_東京_11,sanrenpuku,1-4-5,2678.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-6,219.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-7,1046.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-8,934.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-9,740.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-10,2280.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-11,554.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-12,5202.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-13,514.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-14,106.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-15,1530.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-16,392.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-4-17,150.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-6,1861.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-7,4393.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-8,3784.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-9,3751.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-10,8319.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-11,3267.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-12,16883.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-13,3255.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-14,426.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-15,8279.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-16,3075.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-5-17,1374.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-6-7,379.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-6-8,363.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-6-9,267.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
